ags_gemeinde,gemeinde_name,ags_kreis,kdu_region,source_document,valid_from,max_wohnflaeche_sqm_1p,max_wohnflaeche_sqm_2p,max_wohnflaeche_sqm_3p,max_wohnflaeche_sqm_4p,max_wohnflaeche_sqm_5p,max_wohnflaeche_sqm_addl,max_nettokaltmiete_eur_1p,max_nettokaltmiete_eur_2p,max_nettokaltmiete_eur_3p,max_nettokaltmiete_eur_4p,max_nettokaltmiete_eur_5p,max_nettokaltmiete_eur_addl,max_nettokaltmiete_eur_sqm,max_bruttokaltmiete_eur_1p,max_bruttokaltmiete_eur_2p,max_bruttokaltmiete_eur_3p,max_bruttokaltmiete_eur_4p,max_bruttokaltmiete_eur_5p,max_bruttokaltmiete_eur_addl,max_bruttokaltmiete_eur_sqm,wogg_mietstufe,notes,wogv_mietstufe,wogg_hoechstbetrag_eur_1p,wogg_hoechstbetrag_eur_2p,wogg_hoechstbetrag_eur_4p,kdu_vs_wogg_pct_1p,kdu_vs_wogg_pct_2p,kdu_vs_wogg_pct_4p,max_kalte_bk_eur_1p,max_kalte_bk_eur_2p,max_kalte_bk_eur_3p,max_kalte_bk_eur_4p,max_kalte_bk_eur_5p,max_kalte_bk_eur_addl,max_kalte_bk_eur_sqm,max_bruttokaltmiete_abgeleitet_eur_1p,max_bruttokaltmiete_abgeleitet_eur_2p,max_bruttokaltmiete_abgeleitet_eur_3p,max_bruttokaltmiete_abgeleitet_eur_4p,max_bruttokaltmiete_abgeleitet_eur_5p,max_bruttokaltmiete_abgeleitet_eur_addl,kdu_vs_wogg_basis
01001000,Flensburg,01001,Flensburg Stadt,KdU Flensburg Stadt-01.07.2025.pdf,2025-07-01,50,60,75,90,105,10,,,,,,,,486,540,661,772,929,89,,3,"Kaltmiete inkl. Betriebskosten; kalte BK mind. 1,50 EUR/qm",3,456,551,766,6.6,-2,0.8,,,,,,,,,,,,,,gedruckt
01002000,Kiel,01002,Kiel,KdU Kiel - 01.01.2025.pdf + Jobcenter Kiel Geldleistungen (Stand Juni 2025),2025-01-01,50,60,75,90,105,10,,,,,,,,474.5,545,679,815.5,949.5,90.4,,5,"Bruttokaltmiete (Grundmiete + Betriebskosten), Heizkosten zusätzlich; offizielle Jobcenter-Tabelle druckt +10 qm und 90,40 EUR je weitere Person",5,562,680,946,-15.6,-19.9,-13.8,,,,,,,,,,,,,,gedruckt
01003000,Lübeck,01003,Lübeck,260513_Flyer_KdU_Luebeck.pdf,2026-05-01,50,60,75,85,95,,500.5,567.2,666,759.8,900.95,,,606,680,807,923,1071,,,4,Neue offizielle Mietobergrenzen ab 01.05.2026; schlüssiges Konzept vom 26.02.2026; ab 7 Personen Einzelfallentscheidung,4,511,619,858,18.6,9.9,7.6,,,,,,,,,,,,,,gedruckt
01004000,Neumünster,01004,Neumünster,KdU Neumünster - 01.01.2025.pdf,2025-01-01,50,60,75,90,105,,330,415.6,527.1,626.26,688.62,,,415,516,649,774,871,,,3,"Unsanierter Wohnraum; eur/qm je Haushaltsgroesse verschieden (6,60-7,03) daher leer",3,456,551,766,-9,-6.4,1,,,,,,,,,,,,,,gedruckt
01051001,Albersdorf,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15,,,,,,,,,,,,,,gedruckt
01051002,Arkebek,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15,,,,,,,,,,,,,,gedruckt
01051003,Averlak,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15,,,,,,,,,,,,,,gedruckt
01051004,Bargenstedt,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15,,,,,,,,,,,,,,gedruckt
01051005,Barkenholm,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6,,,,,,,,,,,,,,gedruckt
01051006,Barlt,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15,,,,,,,,,,,,,,gedruckt
01051008,Bergewöhrden,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6,,,,,,,,,,,,,,gedruckt
01051010,Brickeln,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15,,,,,,,,,,,,,,gedruckt
01051011,Brunsbüttel,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15,,,,,,,,,,,,,,gedruckt
01051012,Buchholz,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15,,,,,,,,,,,,,,gedruckt
01051013,Büsum,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6,,,,,,,,,,,,,,gedruckt
01051014,Büsumer Deichhausen,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6,,,,,,,,,,,,,,gedruckt
01051015,Bunsoh,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15,,,,,,,,,,,,,,gedruckt
01051016,Burg (Dithmarschen),01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15,,,,,,,,,,,,,,gedruckt
01051017,Busenwurth,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,435.5,491.4,606.75,699.3,856.8,122.4,,1,"Vergleichsraum Süd (alt Mitte und Süd); Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,20.6,12.4,15,,,,,,,,,,,,,,gedruckt
01051019,Dellstedt,01051,Dithmarschen LK,Richtlinie_Kosten_der_Unterkunft_Dithmarschen.pdf,2025-01-01,50,60,75,90,105,10,,,,,,,,497.5,514.8,627,751.5,866.25,123.75,,1,"Vergleichsraum Nord; Bruttokaltmiete (Kaltmiete + Betriebskosten), Heizkosten extra",1,361,437,608,37.8,17.8,23.6,,,,,,,,,,,,,,gedruckt
